,name,type,latitude,longitude,address,rating,user_ratings_total
0,Pharmácia Specífica,pharmacy,-22.3270129,-49.0695326,"Rua Gustavo Maciel, 14-65 - Centro, Bauru",3.5,84.0
1,Pharmácia Specífica Filial,pharmacy,-22.3351858,-49.0661111,"Rua Antônio Alves, 26-09 - Jardim Brasil, Bauru",4.3,44.0
2,Drogaria Nações Farma,pharmacy,-22.328438,-49.06098960000001,"Avenida Nações Unidas, 17 - Jardim Brasil, Bauru",4.3,6.0
3,Pharmacis Manipulation Pharmacy,pharmacy,-22.3262229,-49.0689959,"Rua Quinze de Novembro, 13-86 - Centro, Bauru",4.4,68.0
4,Santisa Laboratório Farmacêutico,pharmacy,-22.3290057,-49.0766778,"Rua Monsenhor Claro, 690 - Centro, Bauru",4.4,19.0
5,Multi Drogas,pharmacy,-22.3154787,-49.0596017,"Vila Antarctica, Bauru",4.8,4.0
6,ARS curandi Manipulation Pharmacy,pharmacy,-22.3338689,-49.0739328,"Rua Gérson França, 13-75 - Jardim Estoril, Bauru",4.9,14.0
7,Escritório Rede Biodrogas,pharmacy,-22.3014502,-49.06687119999999,"Alameda Padre Antônio Maria, 1-36 - Parque Vista Alegre, Bauru",5.0,4.0
8,Farmafam Bauru,pharmacy,-22.3251436,-49.0648018,"Rua Maria José, 1-61 - Centro, Bauru",4.6,5.0
9,Flower and Be,pharmacy,-22.311359,-49.068515,"Avenida Nuno de Assis, Quadra 12 - Centro, Bauru",4.9,43.0
10,Farmacia Medicamentus,pharmacy,-22.3262237,-49.0564088,"Avenida Duque de Caxias, 20-72 - Vila Cardia, Bauru",4.9,17.0
11,Drogasil,pharmacy,-22.326355,-49.0575026,"Avenida Duque de Caxias, 19 - 70 e 80 - Vila Cardia, Bauru",4.1,127.0
12,Farmácias Nissei,pharmacy,-22.3263795,-49.0594117,"Avenida Duque de Caxias, 17-75 - Vila Brunhari, Bauru",3.6,112.0
13,HIPERFARMA,pharmacy,-22.3309015,-49.07582669999999,"Avenida Duque de Caxias, 1-28 - Vila Mesquita, Bauru",5.0,2.0
14,Farmácia Pague Menos,pharmacy,-22.3216168,-49.07212759999999,"Rua Primeiro de Agosto, 07 -08 - Centro, Bauru",3.1,54.0
15,Farmácia Unimed Bauru,pharmacy,-22.3241718,-49.0702827,"Rua Gustavo Maciel, 11-49 - Centro, Bauru",4.4,182.0
16,Pharmacy Nature,pharmacy,-22.322338,-49.071974,"Rua Batista de Carvalho, 7-7 - Centro, Bauru",4.6,14.0
17,Empório Homeopático,pharmacy,-22.3268808,-49.06852689999999,"Rua Antônio Alves, 16-79 - Centro, Bauru",4.9,10.0
18,Drogasil,pharmacy,-22.3231013,-49.07500379999999,"Rua Batista de Carvalho, 4 - 8 - Centro, Bauru",4.1,65.0
19,Farmácia Pague Menos,pharmacy,-22.3290987,-49.0698308,"Avenida Duque de Caxias, 007 - Vila Santa Tereza, Bauru",4.0,83.0
20,Boulevard Shopping Bauru,shopping_mall,-22.3164844,-49.06625429999999,"Rua Marcondes Salgado, Quadra 11 - Chácara das Flores, Bauru",4.7,27078.0
21,Vila Inglesa Shop Point,shopping_mall,-22.3152125,-49.0588267,"Rua Marcondes Salgado, 17-71 - Vila Cardia, Bauru",4.4,176.0
22,SHOBA Shopping Bauru On-line,shopping_mall,-22.3213053,-49.0609302,"Rua Antônio dos Reis, 02-24 - Higienópolis, Bauru",4.9,10.0
23,Madero,shopping_mall,-22.3418575,-49.0497822,"Rua Henrique Savi, 55 - Vila Nova Cidade Universitaria, Bauru",4.5,90.0
24,Hard & Soft,shopping_mall,-22.3418575,-49.0497822,"Rua Henrique Savi, 55 - Vila Nova Cidade Universitaria, Bauru",,
25,Lupo,shopping_mall,-22.3417772,-49.0492975,"Rua Henrique Savi, Quadra 15 - Vila Nova Cidade Universitaria, Bauru",4.6,102.0
26,Bauru Shopping,shopping_mall,-22.341965,-49.0498045,"Rua Henrique Savi, 15- 55 - Vila Nova Cidade Universitaria, Bauru",4.6,24787.0
27,Hering Kids Bauru Shopping,shopping_mall,-22.34280600000001,-49.049546,"Rua Henrique Savi, Loja 71 - Vila Nova Cidade Universitaria, Bauru",4.7,19.0
28,Roasted Potato - Bauru Shopping,shopping_mall,-22.3429882,-49.04936379999999,"Rua Henrique Savi, 15 - 55 - Vila Nova Cidade Universitaria, Bauru",3.5,35.0
29,C&c,shopping_mall,-22.3113261,-49.06354919999999,"Avenida Nuno de Assis - Parque Vista Alegre, Bauru",,
30,Elionora Chaves,shopping_mall,-22.3151749,-49.0664522,"R. Marcondes Salgado, 11-39 Boulevard Shopping Bauru - piso 2 - ao lado da Boticário - Chácara das Flores, Bauru",5.0,1.0
31,Kings Sneakers Bauru,shopping_mall,-22.3170099,-49.066104,"Rua Marcondes Salgado, Quadra 11 - Vila Cardia, Bauru",5.0,11.0
32,Taverna Sormani,shopping_mall,-22.3170099,-49.066104,"Estacionamento - Rua Marcondes Salgado, Quadra 11 - Chácara das Flores, Bauru",4.6,9.0
33,Duque Vinteum Mall,shopping_mall,-22.3258083,-49.0558377,"Rua Almeida Brandão, 11-34 - Vila Cardia, Bauru",,
34,Salão Comercial 500m²,shopping_mall,-22.31915129999999,-49.071813,"Rua Gustavo Maciel, 5-49 - Centro, Bauru",,
35,PromocoesLegais,shopping_mall,-22.3296773,-49.0590934,"Avenida Nações Unidas, 2115 - Vila Nova Cidade Universitaria, Bauru",,
36,Mega Lojao Brás Bauru-3,shopping_mall,-22.3232427,-49.0720743,"Avenida Rodrigues Alves, 874 - Centro, Bauru",,
37,Estacionamento e Galeria Center Park,shopping_mall,-22.3234277,-49.0724165,"Avenida Rodrigues Alves, 8-34 - Centro, Bauru",4.9,20.0
38,Mega Lojao Brás -2,shopping_mall,-22.3224241,-49.074313,"Rua Treze de Maio, 4-14 - Centro, Bauru",1.0,1.0
39,Galeria Brasil,shopping_mall,-22.3305222,-49.053201,"Rua Benedito Moreira Pinto, 2-54 - Jardim Panorama, Bauru",5.0,2.0
40,Mercearia e Quitanda Vem Que Tem,supermarket,-22.2910665,-49.07182659999999,"Rua José Maciel Ribeiro, 232 - Residencial Parque Colina Verde, Bauru",4.6,45.0
41,Ulian Góes Cia,supermarket,-22.30774359999999,-49.0528365,"Rua Antônio Augusto de Faria - Vila Santa Luzia, Bauru",3.3,6.0
42,Supermercado São Judas Tadeu - Bauru/SP,supermarket,-22.3197718,-49.0654326,"Rua Primeiro de Agosto, 13-43 - Vila Bonfim, Bauru",4.1,2492.0
43,Mercearia Cardia,supermarket,-22.31762600000001,-49.058256,"Rua Ezequiel Ramos, 20.02 - Vila Cardia, Bauru",4.5,12.0
